session_id,src_ip,dst_ip,src_port,dst_port,protocol,packet_count,byte_count,flow_count
188.51.226.235:None->192.168.1.38:None-6,188.51.226.235,192.168.1.38,,,6,43,70301,5
192.168.1.38:None->71.183.90.8:None-6,192.168.1.38,71.183.90.8,,,6,2,126,2
192.168.1.38:None->217.79.74.139:None-17,192.168.1.38,217.79.74.139,,,17,2,142,2
192.168.1.38:None->178.162.173.134:None-6,192.168.1.38,178.162.173.134,,,6,2,126,2
192.168.1.38:None->91.170.48.164:None-6,192.168.1.38,91.170.48.164,,,6,2,126,2
192.168.1.38:None->83.219.212.56:None-6,192.168.1.38,83.219.212.56,,,6,2,126,2
192.168.1.38:None->184.160.237.73:None-6,192.168.1.38,184.160.237.73,,,6,1,63,1
192.168.1.38:None->174.95.50.173:None-6,192.168.1.38,174.95.50.173,,,6,2,126,2
74.108.225.98:None->192.168.1.38:None-6,74.108.225.98,192.168.1.38,,,6,1,54,1
23.55.244.27:None->192.168.1.38:None-6,23.55.244.27,192.168.1.38,,,6,33,48914,1
192.168.1.38:None->23.55.244.27:None-6,192.168.1.38,23.55.244.27,,,6,14,836,1
174.95.50.173:None->192.168.1.38:None-6,174.95.50.173,192.168.1.38,,,6,2,108,2
192.168.1.35:None->224.0.0.251:None-17,192.168.1.35,224.0.0.251,,,17,1,103,1
104.208.16.90:None->192.168.1.38:None-6,104.208.16.90,192.168.1.38,,,6,1,54,1
192.168.1.38:None->37.19.5.139:None-6,192.168.1.38,37.19.5.139,,,6,1,62,1
